,time,id,value
0,2021-04-17T01:15:29Z,TS_DCS2_SCRBINNOX,562.6616
1,2021-04-17T01:15:34Z,TS_DCS2_SCRBINNOX,561.7995
2,2021-04-17T01:15:39Z,TS_DCS2_SCRBINNOX,563.5366
3,2021-04-17T01:15:44Z,TS_DCS2_SCRBINNOX,561.2445
4,2021-04-17T01:15:49Z,TS_DCS2_SCRBINNOX,560.8909
5,2021-04-17T01:15:54Z,TS_DCS2_SCRBINNOX,561.6674
6,2021-04-17T01:15:59Z,TS_DCS2_SCRBINNOX,559.832
7,2021-04-17T01:16:04Z,TS_DCS2_SCRBINNOX,560.379
8,2021-04-17T01:16:09Z,TS_DCS2_SCRBINNOX,562.3801
9,2021-04-17T01:16:14Z,TS_DCS2_SCRBINNOX,560.7527
10,2021-04-17T01:16:19Z,TS_DCS2_SCRBINNOX,560.3578
11,2021-04-17T01:18:09Z,TS_DCS2_SCRBINNOX,
12,2021-04-17T01:21:29Z,TS_DCS2_SCRBINNOX,250.2826
13,2021-04-17T01:21:34Z,TS_DCS2_SCRBINNOX,256.0844
14,2021-04-17T01:21:39Z,TS_DCS2_SCRBINNOX,256.6208
15,2021-04-17T01:21:44Z,TS_DCS2_SCRBINNOX,265.6547
16,2021-04-17T01:21:49Z,TS_DCS2_SCRBINNOX,256.6987
17,2021-04-17T01:21:54Z,TS_DCS2_SCRBINNOX,268.0509
18,2021-04-17T01:21:59Z,TS_DCS2_SCRBINNOX,266.2293
19,2021-04-17T01:22:04Z,TS_DCS2_SCRBINNOX,268.2151
20,2021-04-17T01:22:09Z,TS_DCS2_SCRBINNOX,269.8118
21,2021-04-17T01:22:14Z,TS_DCS2_SCRBINNOX,271.0267
22,2021-04-17T01:22:19Z,TS_DCS2_SCRBINNOX,263.863
23,2021-04-17T01:22:24Z,TS_DCS2_SCRBINNOX,268.1852
24,2021-04-17T01:22:29Z,TS_DCS2_SCRBINNOX,272.8667
25,2021-04-17T01:22:34Z,TS_DCS2_SCRBINNOX,273.8359
26,2021-04-17T01:22:39Z,TS_DCS2_SCRBINNOX,269.6177
27,2021-04-17T01:22:44Z,TS_DCS2_SCRBINNOX,268.2967
28,2021-04-17T01:22:49Z,TS_DCS2_SCRBINNOX,267.6916
29,2021-04-17T01:22:54Z,TS_DCS2_SCRBINNOX,272.7954
30,2021-04-17T01:22:59Z,TS_DCS2_SCRBINNOX,276.3574
31,2021-04-17T01:23:04Z,TS_DCS2_SCRBINNOX,280.1858
32,2021-04-17T01:23:09Z,TS_DCS2_SCRBINNOX,274.8383
33,2021-04-17T01:23:14Z,TS_DCS2_SCRBINNOX,270.7769
34,2021-04-17T01:23:19Z,TS_DCS2_SCRBINNOX,280.6441
35,2021-04-17T01:23:24Z,TS_DCS2_SCRBINNOX,280.0959
36,2021-04-17T01:23:29Z,TS_DCS2_SCRBINNOX,280.6069
37,2021-04-17T01:23:34Z,TS_DCS2_SCRBINNOX,289.1882
38,2021-04-17T01:23:39Z,TS_DCS2_SCRBINNOX,289.6765
39,2021-04-17T01:23:44Z,TS_DCS2_SCRBINNOX,282.9767
40,2021-04-17T01:23:49Z,TS_DCS2_SCRBINNOX,277.4668
41,2021-04-17T01:23:54Z,TS_DCS2_SCRBINNOX,279.4105
42,2021-04-17T01:23:59Z,TS_DCS2_SCRBINNOX,277.1447
43,2021-04-17T01:24:04Z,TS_DCS2_SCRBINNOX,274.122
44,2021-04-17T01:24:09Z,TS_DCS2_SCRBINNOX,281.4721
45,2021-04-17T01:24:14Z,TS_DCS2_SCRBINNOX,285.7751
46,2021-04-17T01:24:19Z,TS_DCS2_SCRBINNOX,289.5092
47,2021-04-17T01:24:24Z,TS_DCS2_SCRBINNOX,300.6078
48,2021-04-17T01:24:29Z,TS_DCS2_SCRBINNOX,300.8394
49,2021-04-17T01:24:34Z,TS_DCS2_SCRBINNOX,307.0106
50,2021-04-17T01:24:39Z,TS_DCS2_SCRBINNOX,312.6417
51,2021-04-17T01:24:44Z,TS_DCS2_SCRBINNOX,310.8524
52,2021-04-17T01:24:49Z,TS_DCS2_SCRBINNOX,323.7661
53,2021-04-17T01:24:54Z,TS_DCS2_SCRBINNOX,326.4049
54,2021-04-17T01:24:59Z,TS_DCS2_SCRBINNOX,336.8638
55,2021-04-17T01:25:04Z,TS_DCS2_SCRBINNOX,341.8207
56,2021-04-17T01:25:09Z,TS_DCS2_SCRBINNOX,359.6011
57,2021-04-17T01:25:14Z,TS_DCS2_SCRBINNOX,379.254
58,2021-04-17T01:25:19Z,TS_DCS2_SCRBINNOX,402.2327
59,2021-04-17T01:25:24Z,TS_DCS2_SCRBINNOX,419.2788
60,2021-04-17T01:25:29Z,TS_DCS2_SCRBINNOX,434.9248
61,2021-04-17T01:25:34Z,TS_DCS2_SCRBINNOX,448.2155
62,2021-04-17T01:25:39Z,TS_DCS2_SCRBINNOX,462.3015
63,2021-04-17T01:25:44Z,TS_DCS2_SCRBINNOX,473.7673
64,2021-04-17T01:25:49Z,TS_DCS2_SCRBINNOX,484.7079
65,2021-04-17T01:25:54Z,TS_DCS2_SCRBINNOX,496.5019
66,2021-04-17T01:25:59Z,TS_DCS2_SCRBINNOX,507.0364
67,2021-04-17T01:26:04Z,TS_DCS2_SCRBINNOX,517.957
